token_multiset_key,raw_label_count,token_sequence_count,combined_runner_rows,first_date,last_date,candidate_structure,has_same_race_variant_evidence,evidence_status,identity_relationship,decision_basis,confidence,mapping_method,database_action
a | al | b | d | et | j | kelt | kelt | mrs | n,2,2,2,2022-03-19,2025-09-20,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | balding | balding | et | m | mrs | r | s,2,2,4,2015-05-07,2024-03-23,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | barker | c | dr | et | g | gay,2,2,18,2020-09-25,2024-11-02,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | barnao | et | g | heptinstall | j | t,2,2,9,2015-05-09,2023-11-04,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | bernsen | david | et | llc | ranch | rockingham,2,2,8,2021-04-30,2023-06-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | bloodstock | et | greenhalgh | magic | n | racing,2,2,37,2016-09-10,2025-06-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | bloodstock | et | kheir | yes,2,2,58,2021-01-16,2025-03-22,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | bloodstock | et | m | pilkington | seymour,2,2,40,2019-02-23,2026-04-04,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | bourne | ciaron | et | maher | racing | w,2,2,14,2021-10-16,2026-01-10,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | bruhn | bruhn | et | s | w | w,2,2,3,2017-11-04,2021-08-28,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | c | cook | et | m | m | mrs | mrs | smith,2,2,19,2018-11-10,2022-06-11,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | c | et | m | miss | s | siddle | siddle,2,2,9,2017-02-11,2019-02-16,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | d | diamond | et | l | mrs | mrs | t | vogel,2,2,3,2015-04-15,2018-06-23,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | englezakis | et | f | huyssteen | j | n | van,2,2,3,2015-04-25,2017-05-27,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | et | h | jones | joseph | p | p,2,2,3,2015-03-08,2018-09-14,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | et | investments | kheir | long | yu,2,2,11,2018-09-15,2021-04-24,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | et | j | j | randall | rogers | s,2,2,5,2016-04-16,2020-04-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | et | k | keys | keys | l | m | mrs,2,2,27,2021-02-06,2026-05-09,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | et | konstantatos | mcclure | r,2,2,3,2018-03-24,2019-01-01,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | allard | d | regis | s | schmidlin,2,2,12,2025-03-30,2026-05-06,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | amestoy | amestoy | beasley | jean | jr | k | leslie | pierre | roger,2,2,9,2022-12-11,2026-05-02,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | anderson | beverly | edward | s | seltzer,2,2,29,2015-01-01,2022-11-26,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | augustin | g | jathiere | martin | normand | racing | s | schwartz,2,2,3,2017-08-20,2018-08-15,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | baillet | c | comte | de | ganay,2,2,5,2015-05-19,2017-11-21,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | barratt | i | s | short | signy | spiers,4,4,24,2017-05-09,2017-11-30,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | barratt | i | signy | spiers,3,3,25,2018-06-25,2020-01-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | chalmel | gilibert,2,2,56,2015-03-06,2025-05-22,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | de | haras | hus | racing,2,2,11,2025-03-17,2026-05-12,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | gregg | h | l | mcfadzean,2,2,35,2017-02-14,2019-01-20,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | b | j | l | mathieson | mathieson | mrs,2,2,3,2015-03-26,2018-08-27,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | barbarin | g | gilibert,2,2,11,2015-09-14,2017-06-15,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | barnes | p | sutherland,2,2,8,2017-06-02,2018-01-22,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | bartlett | hire | ltd | plant | r | walters,2,2,5,2021-06-04,2022-06-30,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | bernal | dee | g | smith,2,2,26,2015-03-25,2017-05-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | bernsen | david | llc | ranch | rockingham,2,2,60,2017-10-07,2026-01-17,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | bernsen | david | magdalena | moulton | racing | susan,2,2,2,2019-03-23,2019-07-28,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | bertuccio | j | white,2,2,7,2024-02-17,2024-05-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | blackburn | j | partner | turton,2,2,44,2015-05-14,2018-06-06,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | botti | cassan | claude | cole | daniel | g | jean,2,2,15,2022-09-10,2024-10-17,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | brook | co | david | e | ltd | scott,2,2,22,2015-04-15,2017-05-19,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | brook | e | stott,2,2,22,2015-06-17,2019-10-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | c | dr | duddy | osborne | p | r,2,2,4,2015-03-07,2020-08-15,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | c | wilson,2,2,21,2015-04-06,2026-05-01,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | cazaux | d | faivre | p,2,2,7,2015-09-22,2018-06-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | chaille | chaille | corveller | ecurie | guerin | herve | richard,2,2,5,2025-05-07,2026-04-21,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | chandler | hull | l | s | westwood,2,2,4,2016-09-15,2017-04-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | chapman | hollinshead | n | n,2,2,16,2015-03-13,2016-04-26,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | cherifi | d | mauduit,2,2,17,2018-05-08,2019-10-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | chetty | civils | currie | ltd | m | mayesh | pty | vendel,2,2,4,2015-05-23,2017-06-03,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | connolly | d | john | spence,2,2,87,2020-06-29,2025-10-04,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | corbani | ecurie | i | mme | mouknass | pandora | racing,2,2,30,2017-09-03,2024-05-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | d | illes | illes | mrs | r,2,2,22,2015-04-18,2023-11-04,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | d | margaret | ms | mullins | mullins,2,2,19,2015-01-02,2023-05-01,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | d | mullins | mullins | p | w,2,2,3,2018-04-25,2024-08-23,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | davies | fowler | frost | g | h | mrs | p | r,2,2,43,2020-02-02,2026-03-11,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | dixon | e | f | r,2,2,3,2020-12-05,2026-03-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | ecurie | jml | p | racing | stein,2,2,12,2016-04-16,2018-06-14,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | ecurie | mouknass | pandora | racing,2,2,120,2015-01-12,2024-02-17,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | f | l | m | muollo | muollo,2,2,6,2016-12-03,2025-04-01,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | fehr | fehr | m | mme,2,2,23,2015-01-03,2016-10-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | fowler | frost | h | mrs | r,2,2,15,2020-09-04,2024-07-26,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | frank | hartnett | j | lynch | m | michael | obrien | ryan | w,2,2,55,2021-01-22,2023-09-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | gatsas | hill | r | stable | stables,2,2,15,2016-10-07,2025-06-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | henderson | huyssteen | j | van | william,2,2,7,2017-05-27,2019-01-26,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | hill | r | racing | reeves | stable | thoroughbred,2,2,12,2015-01-03,2022-06-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | j | jake | pletcher | pletcher | todd,2,2,3,2017-11-03,2020-04-17,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | j | russell,2,2,40,2020-08-24,2026-03-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | john | m | magnier | michael | mrs | mrs | obrien | tabor,3,3,38,2015-03-29,2023-09-19,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | john | m | magnier | mrs | mrs | obrien,2,2,68,2015-04-12,2026-05-11,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | jones | p,2,2,40,2015-05-28,2026-05-04,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | jones | r | s | vasili | vasili | w,2,2,5,2015-06-07,2018-09-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | kelly | p,2,2,40,2015-01-15,2026-05-24,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | kenny | leydon | m | shane,2,2,30,2023-02-12,2026-05-12,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | m | obrien | ryan | w,2,2,3,2022-02-12,2025-02-20,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | m | ryan,2,2,172,2019-03-03,2026-05-19,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | partnership | t,2,2,11,2015-10-18,2026-05-14,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | r | roisnard | vandenhove,2,2,68,2015-04-03,2023-09-23,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | rafael | sanchez,2,2,2,2019-09-04,2024-10-05,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
abbey | john | mike | nolan,2,2,81,2015-06-20,2023-07-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
abbondanza | dedomenico | llc | mark | medallion | racing | racing,2,2,3,2019-12-28,2020-08-01,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
acker | al | allen | et | llc | racing | tom,2,2,4,2018-07-26,2019-03-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adam | and | ben | signy | spiers,2,2,20,2019-05-22,2021-11-06,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adam | b | potts | r | sheerin,2,2,15,2024-10-06,2026-04-24,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adam | barratt | ian | short | signy | stephen,3,3,74,2015-01-07,2018-02-10,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adam | barry | casbolt | miss | potts | potts | r | zoe,3,3,19,2016-12-28,2020-09-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adams | barclay | c | mrs | p,2,2,12,2021-12-26,2023-06-30,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adams | coles | d | m,2,2,15,2017-03-26,2020-01-31,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adele | b | claiborne | dilschneider | farm,2,2,89,2015-01-10,2026-01-31,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adelis | des | haras | racing | salabi,2,2,13,2017-05-22,2019-05-12,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
ades | al | du | ecurie | ecurie | et | hazan | monceau | parc,2,2,8,2024-03-21,2026-03-10,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
ades | e | hazan | mme | p | puerari,2,2,18,2016-07-17,2018-10-28,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adrian | george | karen | parr,2,2,11,2016-05-27,2022-10-18,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
adrien | fouassier | ghys | michel,2,2,4,2025-03-21,2026-01-31,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
afdjei | al | artu | cyrus | d | et,2,2,12,2025-03-09,2026-03-16,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aff | ahmed | corbani | cuadra | isabelle | mme | mouknass | sl,2,2,12,2024-06-13,2025-11-14,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
agathe | ecurie | equus | fouassier | groupe | kr | mme | racing | sarl,2,2,3,2020-11-30,2021-07-03,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
agency | bloodstock | hosselet | ltd | mme | sandra,2,2,21,2023-04-02,2025-06-15,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
ahmad | al | big | et | stud | think | tunku | yahaya,2,2,7,2015-03-04,2018-03-24,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aidan | howley | j | jnr | oryan | t,2,2,8,2020-11-28,2023-12-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aiden | all | horses | kings | murphy | the,2,2,95,2015-01-29,2022-04-19,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aileen | lady | lynam | ms | oreilly,2,2,11,2015-04-19,2019-10-30,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aisling | byrne | cunningham | matthew | paul | raleigh,2,2,12,2025-03-01,2026-04-11,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aisling | janeanne | mrs | oneill | oneill,2,2,83,2021-10-02,2026-05-15,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
aisquith | bethlehem | dubb | gary | llc | michael | stables,2,2,15,2015-01-03,2019-09-21,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | alesia | ciaglia | et | llc | racing | sharon,2,2,17,2015-01-09,2019-06-08,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | alexandre | ecurie | ecurie | et | foulon | vivaldi,2,2,11,2023-07-10,2025-09-12,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | ali | rashid | rayhi,2,2,37,2016-10-28,2021-04-08,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | anant | et | mrs | singh | vanashree,2,2,3,2015-08-01,2024-07-28,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | aquis | et | farm | proven | thoroughbreds,2,2,8,2018-05-05,2019-08-31,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | aquis | et | farm | sydx,2,2,7,2018-11-08,2019-10-12,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | arkle | coolmore | et,2,2,2,2015-01-31,2018-04-07,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | arrowfield | et | ltd | pastoral | pinecliff | pty | racing,2,2,8,2019-09-29,2022-01-26,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | aston | bloodstock | et | luskin | park | racing | stud,2,2,21,2015-04-18,2021-05-01,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | augustin | corno | et | francois | gerard | le | normand,2,2,10,2025-10-05,2026-05-14,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
al | b | c | et | janice | mckenna | mckenna | mrs,2,2,14,2015-02-07,2022-12-26,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
