verification_id,repair_record_id,source_rowid,source_race_id,source_date,source_course,source_off,source_horse,source_field,raw_source_value,governed_value,verification_status,evidence_type,evidence_locator,evidence_accessed_date,confidence,notes,database_action
NB20-CONNECTION-0001,connection_blank_001,189632,648524,2016-04-08,Auteuil (FR),2:15,Ahzana (FR),jockey,,T. Viel,confirmed,independent historical horse record and racecard,https://www.canalturf.com/courses_fiche_cheval.php?idcheval=176640 | https://www.coin-turf.fr/programmes-courses/08042016/3080_auteuil/prix-guy-hunault,2026-08-03,high,connection_blank_001; Both sources identify T. Viel as Ahzana's jockey in the Prix Guy Hunault on 2016-04-08. Preserve the source-style abbreviated label; no canonical person identity is asserted. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0027,connection_blank_027,1112631,799985,2021-12-01,Funabashi (JPN),11:07,Dear Rickey (JPN),owner,,Yusuke Kobayashi,confirmed,official and independent exact-date racecards,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_babaCode=19&k_raceDate=2021%2F12%2F01&k_raceNo=11 | https://keiba.rakuten.co.jp/race_card/list/RACEID/202112011914090311,2026-08-03,high,connection_blank_027; The exact racecard lists 小林祐介 as owner of Dear Rickey. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0028,connection_blank_028,1118779,800932,2021-12-15,Kawasaki (JPN),11:07,SIl Te Plait (JPN),owner,,Kumiko Hara,confirmed,exact historical race result,https://db.netkeiba.com/race/202145121511/,2026-08-03,high,connection_blank_028; The exact Zen-Nippon Nisai Yushun result lists 原久美子 as owner of SIl Te Plait. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0029,connection_blank_029,1118781,800932,2021-12-15,Kawasaki (JPN),11:07,Praelude (JPN),owner,,Carrot Farm,confirmed,exact historical result and racecard,https://db.netkeiba.com/race/202145121511/,2026-08-03,high,connection_blank_029; The exact record identifies Carrot Farm as owner of Praelude. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0030,connection_blank_030,1171417,810727,2022-04-20,Ohi (JPN),11:07,Gishigishi (JPN),owner,,Foret Bleu Co Ltd,confirmed,official exact-date historical race result,https://www.jbis.jp/race/result/20220420/220/11/,2026-08-03,high,connection_blank_030; The exact racecard lists 有限会社フォレブルー as owner of Gishigishi. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0031,connection_blank_031,1214955,817393,2022-07-13,Ohi (JPN),11:07,Cryogenic (JPN),owner,,Tomohiro Iizuka,confirmed,exact racecard plus independent name-reading evidence,https://en.netkeiba.com/db/race/202244071311/,2026-08-03,high,connection_blank_031; The exact Japanese racecard lists 飯塚倫尋 as owner of Cryogenic. Independent Japanese material supplies the reading Tomohiro Iizuka. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0032,connection_blank_032,1214956,817393,2022-07-13,Ohi (JPN),11:07,Hapi (JPN),owner,,Toshio Terada,confirmed,exact English historical race result,https://en.netkeiba.com/db/race/202244071311/,2026-08-03,high,connection_blank_032; The exact Japan Dirt Derby result identifies Toshio Terada as owner of Hapi. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0034,connection_blank_034,1217234,817570,2022-07-18,Morioka (JPN),11:07,Vacation (JPN),owner,,Masatoshi Suzuki,confirmed,official exact-date racecard plus bilingual target-race listing,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_babaCode=10&k_raceDate=2022%2F07%2F18&k_raceNo=12 | https://mixi.jp/view_bbs.pl?comm_id=751243&id=99203601,2026-08-03,medium,connection_blank_034; The exact Mercury Cup listing supplies both the Japanese owner name and its Romanised presentation. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0035,connection_blank_035,1217236,817570,2022-07-18,Morioka (JPN),11:07,Giga King (JPN),owner,,Tomohiro Ozaki,confirmed,official exact-date racecard plus bilingual target-race listing,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_babaCode=10&k_raceDate=2022%2F07%2F18&k_raceNo=12 | https://mixi.jp/view_bbs.pl?comm_id=751243&id=99203601,2026-08-03,medium,connection_blank_035; The exact Mercury Cup listing supplies both the Japanese owner name and its Romanised presentation. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0036,connection_blank_036,1249441,823080,2022-09-28,Funabashi (JPN),11:07,Giga King (JPN),owner,,Hero Racing Co Ltd,confirmed,official and independent exact-date racecards,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_babaCode=19&k_raceDate=2022%2F09%2F28&k_raceNo=11 | https://keiba.rakuten.co.jp/race_card/list/RACEID/202209281900000011,2026-08-03,high,connection_blank_036; The exact racecard identifies Hero Racing as owner of Giga King on the target date. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0037,connection_blank_037,1273903,830140,2022-11-13,Busan (KOR),7:45,Happy Fever (KOR),owner,,Lee Bon Hee,confirmed,complete exact historical race result,https://www.racingpost.com/results/1350/busan/2022-11-13/830140,2026-08-03,high,connection_blank_037; The complete result explicitly lists Lee Bon Hee as the second-place owner of Happy Fever. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0038,connection_blank_038,50160,627438,2015-05-06,Sonoda (JPN),11:07,Maximum Kaiser (JPN),trainer,,Masaya Komura,confirmed,official exact historical race result,https://www.jbis.jp/race/result/20150506/227/10/,2026-08-03,high,connection_blank_038; The official Hyogo Championship result lists MASAYA KOMURA (SONODA) as trainer of Maximum Kaiser. The location suffix is not included in the governed label. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0039,connection_blank_039,203870,651027,2016-05-07,Maisons-Laffitte (FR),3:30,Star White (FR),trainer,,K Borgel,confirmed,exact historical racecard,https://www.coin-turf.fr/programmes-courses/07052016/4437_maisons-laffitte/prix-de-l-etoile-d-artois-prix-de-l-etoile-du-bon-secours,2026-08-03,high,connection_blank_039; The exact racecard lists K Borgel as trainer of Star White. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0040,connection_blank_040,203991,651027,2016-05-07,Maisons-Laffitte (FR),3:30,Colombia DEmra (FR),trainer,,C Plisson,confirmed,exact historical racecard,https://www.coin-turf.fr/programmes-courses/07052016/4437_maisons-laffitte/prix-de-l-etoile-d-artois-prix-de-l-etoile-du-bon-secours,2026-08-03,high,connection_blank_040; The exact racecard lists C Plisson as trainer of Colombia DEmra. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0042,connection_blank_042,600778,712047,2018-09-14,Saint-Cloud (FR),3:10,Valley Kid (FR),trainer,,Stal't Neerhof,confirmed,exact historical racecard,https://www.coin-turf.fr/programmes-courses/14092018/43153_saint-cloud/prix-de-lamarque,2026-08-03,high,connection_blank_042; The exact racecard lists Stal't Neerhof as the training connection for Valley Kid. Supplement only when the exact immutable source field is blank.,source_supplementation
